"","1","2","3","4","5","6","7","8","9","10","p","test"
"Physical.Activity.Days.Per.Week (mean (SD))","3.49 (2.25)","3.50 (2.31)","3.46 (2.28)","3.47 (2.26)","3.48 (2.36)","3.44 (2.23)","3.47 (2.30)","3.52 (2.32)","3.46 (2.29)","3.60 (2.24)","0.967",""
"Sleep.Hours.Per.Day (mean (SD))","7.16 (2.00)","7.07 (1.95)","6.96 (2.00)","7.00 (1.99)","6.96 (1.97)","7.01 (2.01)","7.09 (2.00)","7.06 (2.00)","6.87 (1.97)","7.05 (2.00)","0.163",""
"Country (%)","","","","","","","","","","","0.374",""
"   1","46 (5.3)","44 (4.8)","39 (4.5)","50 (5.5)","46 (5.3)","40 (4.7)","56 (6.2)","42 (4.8)","53 (6.0)","55 (6.7)","",""
"   10","52 (6.0)","51 (5.6)","43 (5.0)","27 (3.0)","53 (6.2)","35 (4.1)","36 (4.0)","51 (5.8)","39 (4.4)","38 (4.6)","",""
"   11","44 (5.1)","38 (4.2)","36 (4.1)","61 (6.7)","38 (4.4)","48 (5.6)","37 (4.1)","53 (6.0)","32 (3.6)","49 (6.0)","",""
"   12","55 (6.4)","43 (4.7)","38 (4.4)","36 (4.0)","42 (4.9)","41 (4.8)","45 (5.0)","47 (5.3)","41 (4.6)","43 (5.2)","",""
"   13","45 (5.2)","60 (6.6)","53 (6.1)","38 (4.2)","37 (4.3)","38 (4.4)","43 (4.8)","35 (4.0)","40 (4.5)","41 (5.0)","",""
"   14","48 (5.5)","45 (4.9)","47 (5.4)","49 (5.4)","28 (3.3)","45 (5.3)","39 (4.3)","37 (4.2)","39 (4.4)","35 (4.3)","",""
"   15","35 (4.0)","38 (4.2)","51 (5.9)","55 (6.0)","43 (5.0)","42 (4.9)","47 (5.2)","47 (5.3)","49 (5.5)","41 (5.0)","",""
"   16","52 (6.0)","51 (5.6)","44 (5.1)","40 (4.4)","37 (4.3)","47 (5.5)","31 (3.4)","48 (5.5)","42 (4.7)","43 (5.2)","",""
"   17","32 (3.7)","47 (5.1)","31 (3.6)","46 (5.1)","37 (4.3)","49 (5.7)","40 (4.4)","45 (5.1)","46 (5.2)","36 (4.4)","",""
"   18","43 (5.0)","54 (5.9)","44 (5.1)","38 (4.2)","44 (5.1)","56 (6.5)","39 (4.3)","47 (5.3)","40 (4.5)","44 (5.3)","",""
"   19","43 (5.0)","41 (4.5)","38 (4.4)","41 (4.5)","39 (4.5)","42 (4.9)","50 (5.5)","37 (4.2)","56 (6.3)","42 (5.1)","",""
"   2","41 (4.7)","40 (4.4)","36 (4.1)","55 (6.0)","52 (6.0)","40 (4.7)","48 (5.3)","48 (5.5)","38 (4.3)","42 (5.1)","",""
"   20","42 (4.9)","47 (5.1)","53 (6.1)","41 (4.5)","44 (5.1)","41 (4.8)","43 (4.8)","43 (4.9)","59 (6.7)","44 (5.3)","",""
"   3","44 (5.1)","48 (5.3)","53 (6.1)","40 (4.4)","43 (5.0)","38 (4.4)","50 (5.5)","43 (4.9)","49 (5.5)","38 (4.6)","",""
"   4","37 (4.3)","41 (4.5)","41 (4.7)","44 (4.8)","50 (5.8)","42 (4.9)","48 (5.3)","44 (5.0)","45 (5.1)","36 (4.4)","",""
"   5","36 (4.2)","53 (5.8)","53 (6.1)","58 (6.4)","55 (6.4)","48 (5.6)","41 (4.5)","46 (5.2)","42 (4.7)","45 (5.5)","",""
"   6","43 (5.0)","40 (4.4)","49 (5.6)","46 (5.1)","33 (3.8)","46 (5.4)","47 (5.2)","46 (5.2)","44 (5.0)","39 (4.7)","",""
"   7","55 (6.4)","50 (5.5)","36 (4.1)","58 (6.4)","47 (5.5)","43 (5.0)","51 (5.6)","36 (4.1)","51 (5.7)","35 (4.3)","",""
"   8","41 (4.7)","31 (3.4)","42 (4.8)","45 (4.9)","39 (4.5)","40 (4.7)","60 (6.6)","46 (5.2)","41 (4.6)","40 (4.9)","",""
"   9","31 (3.6)","51 (5.6)","41 (4.7)","42 (4.6)","53 (6.2)","34 (4.0)","52 (5.8)","38 (4.3)","41 (4.6)","37 (4.5)","",""
"Hemisphere = 1 (%)","528 (61.0)","580 (63.5)","572 (65.9)","605 (66.5)","568 (66.0)","550 (64.3)","578 (64.0)","578 (65.8)","579 (65.3)","522 (63.4)","0.397",""
"High.Blood.Pressure (mean (SD))","133.91 (26.27)","135.58 (26.44)","133.32 (26.52)","134.40 (25.66)","135.71 (26.57)","135.46 (26.55)","136.15 (26.20)","135.03 (26.87)","136.32 (26.60)","134.81 (25.78)","0.296",""
"Low.Blood.Pressure (mean (SD))","85.31 (14.69)","85.33 (14.94)","84.55 (14.66)","85.36 (14.76)","86.41 (14.72)","84.60 (14.49)","85.14 (14.58)","84.97 (14.87)","85.29 (14.38)","84.56 (14.64)","0.277",""
"Heart.Attack.Risk = 1 (%)","303 (35.0)","330 (36.1)","317 (36.5)","313 (34.4)","317 (36.9)","322 (37.7)","336 (37.2)","311 (35.4)","303 (34.2)","287 (34.9)","0.821",""
"Smoking = 1 (%)","783 (90.5)","813 (89.0)","775 (89.3)","815 (89.6)","765 (89.0)","778 (91.0)","814 (90.1)","791 (90.0)","790 (89.1)","735 (89.3)","0.905",""
"Continent (%)","","","","","","","","","","","0.021",""
"   1","256 (29.6)","262 (28.7)","247 (28.5)","273 (30.0)","239 (27.8)","265 (31.0)","247 (27.4)","276 (31.4)","245 (27.6)","233 (28.3)","",""
"   2","222 (25.7)","251 (27.5)","250 (28.8)","213 (23.4)","221 (25.7)","206 (24.1)","222 (24.6)","214 (24.3)","231 (26.0)","211 (25.6)","",""
"   3","76 (8.8)","69 (7.6)","93 (10.7)","100 (11.0)","82 (9.5)","82 (9.6)","107 (11.8)","93 (10.6)","90 (10.1)","81 (9.8)","",""
"   4","72 (8.3)","91 (10.0)","77 (8.9)","97 (10.7)","105 (12.2)","74 (8.7)","100 (11.1)","86 (9.8)","79 (8.9)","79 (9.6)","",""
"   5","144 (16.6)","135 (14.8)","113 (13.0)","149 (16.4)","132 (15.3)","125 (14.6)","157 (17.4)","115 (13.1)","160 (18.0)","132 (16.0)","",""
"   6","95 (11.0)","105 (11.5)","88 (10.1)","78 (8.6)","81 (9.4)","103 (12.0)","70 (7.8)","95 (10.8)","82 (9.2)","87 (10.6)","",""
